artist,name,song,person,sentence,year,highestRank
J. Cole,Tommy,ATM,True,My niggas beside me like Tommy and Martin,2018.0,42.0
Migos,Barry,Auto Pilot,True,Birds singing like Barry,2018.0,85.0
Migos,Mary,Auto Pilot,True,Skeletons singing like Mary,2018.0,85.0
Migos,Nick,Auto Pilot,True,"Chopper ring, drumline, Nick Cannon",2018.0,85.0
Post Malone Featuring Nicki Minaj,James,Ball For Me,True,Got 'em lookin' like James Harden at the awards,2018.0,16.0
JAY-Z Featuring Damian \Jr. Gong\ Marely,Bobby,Bam,True,I'll Bobby Shmurda anybody you heard of,2017.0,47.0
JAY-Z Featuring Damian \Jr. Gong\ Marely,Emory,Bam,True,Emory passed you niggas and he did a bid,2017.0,47.0
JAY-Z Featuring Damian \Jr. Gong\ Marely,Shawn,Bam,True,"Fuck all this pretty Shawn Carter shit nigga, HOV",2017.0,47.0
JAY-Z Featuring Damian \Jr. Gong\ Marely,Ty,Bam,True,Ty,2017.0,47.0
21 Savage,Max,Bank Account,True,"Bitch, I'm Mad Max, you know I got Ziggy with me",2017.0,12.0
21 Savage,Reggie,Bank Account,True,"I shoot like Reggie Mill', dog",2017.0,12.0
Nicki Minaj,Dave,Barbie Dreams,True,"A hand full of Weezy, sprinkle of Dave East",2018.0,18.0
Nicki Minaj,Ed,Barbie Dreams,True,I remember when I used to have a crush on Special Ed,2018.0,18.0
Nicki Minaj,Kim,Barbie Dreams,True,Curved him and went the Kim and Kanye way,2018.0,18.0
Nicki Minaj,Mike,Barbie Dreams,True,"Like Mike Tyson, he was biting my shit",2018.0,18.0
Nicki Minaj,Odell,Barbie Dreams,True,And I would've had Odell Beckham banging the cake,2018.0,18.0
Nicki Minaj,Rick,Barbie Dreams,True,"Shoutout to my Jews, l'chaim, Rick Rubin",2018.0,18.0
Nicki Minaj,Ruben,Barbie Dreams,True,No I ain't Studdard and no I ain't Ruben,2018.0,18.0
Nicki Minaj,Scottie,Barbie Dreams,True,"I'ma do that nigga Future dirty, word to Scottie",2018.0,18.0
Nicki Minaj,Stefan,Barbie Dreams,True,I turn Stefan into Urkel,2018.0,18.0
Nicki Minaj,Tyson,Barbie Dreams,True,"Like Mike Tyson, he was biting my shit",2018.0,18.0
Nicki Minaj,Drake,Barbie Tingz,True,"That's Lil Weezy, the Barbie and Drizzy Drake",2018.0,25.0
Nicki Minaj,Guy,Barbie Tingz,True,Ritchie like Guy and I still eat Thai,2018.0,25.0
Nicki Minaj,Jay,Barbie Tingz,True,"I spoke to Jay the other day, he's still the kingpin",2018.0,25.0
Nicki Minaj,Nicki,Barbie Tingz,True,Want the Nicki cheat code?,2018.0,25.0
Nicki Minaj,Wayne,Barbie Tingz,True,If I ain't sign to Wayne's perfectly designed crew,2018.0,25.0
Migos Featuring 21 Savage,Quincy,BBO (Bad Bitches Only),True,All these Jones soldier fuck it they call me Quincy,2018.0,48.0
Migos Featuring 21 Savage,Reggie,BBO (Bad Bitches Only),True,Reggie Miller shoot 'em bill up,2018.0,48.0
Cardi B,Keisha,Be Careful,True,But we more like Belly; Tommy and Keisha shit,2018.0,11.0
Cardi B,Tommy,Be Careful,True,But we more like Belly; Tommy and Keisha shit,2018.0,11.0
Lil Pump Featuring Lil Wayne,Billie Jean,Be Like Me,True,"But the kid is not my son, shout out Billie Jean",2019.0,72.0
Lil Pump Featuring Lil Wayne,Dwayne,Be Like Me,True,"Mr. Dwayne Carter, only got one ID, yerr",2019.0,72.0
Lil Pump Featuring Lil Wayne,Kim,Be Like Me,True,Everybody wanna go and smash Kim K,2019.0,72.0
A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,Mike,Beast Mode,True,Those is Mike Amiri jeans though,2017.0,86.0
Jacquees,Billie Jean,B.E.D.,True,"Know she think I'm Michael Jackson, Billie Jean moon walk",2017.0,69.0
Jacquees,Michael,B.E.D.,True,"Know she think I'm Michael Jackson, Billie Jean moon walk",2017.0,69.0
Nicki Minaj Featuring Ariana Grande,Carter,Bed,True,I got Carter III on repeat,2018.0,42.0
Eminem,Bruce,Believe,True,To go through and deal with that Bruce Willis,2018.0,92.0
Romeo Santos Featuring Nicky Jam & Daddy Yankee,Nicky,Bella y Sensual,True,"Nicky, Nicky, Nicky Jam",2017.0,95.0
Romeo Santos Featuring Nicky Jam & Daddy Yankee,Romeo,Bella y Sensual,True,Romeo te habla bonito y,2017.0,95.0
Lil Baby & Gunna,Jordan,Belly,True,"How foreign my tint is, I still rock the Jordan",2018.0,80.0
Lil Baby & Gunna,Keisha,Belly,True,I got a bitch like Keisha off of Belly,2018.0,80.0
Cardi B Featuring Chance The Rapper,Andre,Best Life,True,"Police, no Andre, G like 'Venchy",2018.0,100.0
Cardi B Featuring Chance The Rapper,Dante,Best Life,True,"Now they hold cash, won't peak like Dante",2018.0,100.0
Cardi B Featuring Chance The Rapper,Jamie,Best Life,True,"Skrrt skrrt, Jamie Foxx in your town, like",2018.0,100.0
Cardi B Featuring Chance The Rapper,Jerry,Best Life,True,"Nigga, you a pussy and a rat, you like Tom & Jerry",2018.0,100.0
Cardi B Featuring Chance The Rapper,Tom,Best Life,True,"Nigga, you a pussy and a rat, you like Tom & Jerry",2018.0,100.0
Post Malone,Jonas,Better Now,True,"With my brothers like it's Jonas, Jonas",2018.0,10.0
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Colin,Big Bank,True,I'm more Colin Kaepernick,2018.0,16.0
Kendrick Lamar & Travis Scott,Kenny,Big Shot,True,Kenny,2018.0,71.0
Kendrick Lamar & Travis Scott,Moses,Big Shot,True,"Runnin' through these waves, like I'm Moses, out the booth",2018.0,71.0
Kendrick Lamar & Travis Scott,Steve,Big Shot,True,Forget your name like I'm Steve,2018.0,71.0
Quavo,Bill,Biggest Alley Oop,True,"Thinkin' about wrappin' a Benz yellow, Kill Bill",2018.0,86.0
Quavo,Billy,Biggest Alley Oop,True,Thinkin' 'bout gettin' a big Billy,2018.0,86.0
Quavo,Jay,Biggest Alley Oop,True,It's bigger than Jay,2018.0,86.0
Quavo,Shaquille,Biggest Alley Oop,True,And callin' it Shaquille O'Neal,2018.0,86.0
Nicki Minaj X Mike WiLL Made-It,Donald,Black Barbies,True,"Island girl, Donald Trump want me go home",2017.0,97.0
Nicki Minaj X Mike WiLL Made-It,Joan,Black Barbies,True,You gon' be floatin' in dem rivers like you know Joan,2017.0,97.0
Nicki Minaj X Mike WiLL Made-It,Mike,Black Barbies,True,Mike Will Made,2017.0,97.0
Nicki Minaj X Mike WiLL Made-It,Peter,Black Barbies,True,Peter piper picked a pepper,2017.0,97.0
Nicki Minaj X Mike WiLL Made-It,Will,Black Barbies,True,Mike Will Made,2017.0,97.0
Kendrick Lamar,Kendrick,Black Panther,True,"King's vision, Black Panther, King Kendrick, all hail the king!",2018.0,91.0
Kendrick Lamar,King,Black Panther,True,"King's vision, Black Panther, King Kendrick, all hail the king!",2018.0,91.0
Logic Featuring Damian Lemar Hudson,Felicia,Black SpiderMan,True,I'm biracial so bye Felicia,2017.0,87.0
Logic Featuring Damian Lemar Hudson,Jesus,Black SpiderMan,True,"Jesus, Black Jesus",2017.0,87.0
Logic Featuring Damian Lemar Hudson,Keisha,Black SpiderMan,True,I'm just as black as my cousin Keisha,2017.0,87.0
Logic Featuring Damian Lemar Hudson,Mona Lisa,Black SpiderMan,True,I'm just as white as that Mona Lisa,2017.0,87.0
Logic Featuring Damian Lemar Hudson,Martin,Black SpiderMan,True,"Nigga, that's Martin!",2017.0,87.0
Drake,Virginia,Blem,True,This Virginia done me off already,2017.0,38.0
Drake,Mario,Blue Tint,True,Mario!,2018.0,30.0
Cardi B,Mona,Bodak Yellow (Money Moves),True,Another check from Mona Scott,2017.0,1.0
Katy Perry Featuring Migos,Katy,Bon Appetit,True,"Katy Perry, Migos, ay",2017.0,59.0
Katy Perry Featuring Migos,Kobe,Bon Appetit,True,A Kobe flown in,2017.0,59.0
Blac Youngsta,Mike,Booty,True,Mike,2018.0,73.0
Blac Youngsta,Tyson,Booty,True,Tyson on the booty,2018.0,73.0
J. Cole,Jerome,Brackets,True,Jerome Lewis didn't make that much money,2018.0,30.0
J. Cole,Sam,Brackets,True,Uncle Sam and shit,2018.0,30.0
21 Savage,Daisy,Break Da Law,True,Ride me slow like you drivin' Miss Daisy,2019.0,70.0
21 Savage,Keisha,Break Da Law,True,Need me a Keisha like Belly,2019.0,70.0
Chris Stapleton,Jesus,Broken Halos,True,Don't go asking Jesus why,2017.0,45.0
Lil Baby & Gunna,Marlo,Business Is Business,True,"I stay with that .9, they should call me Marlo",2018.0,61.0
Travis Scott,Santana,Butterfly Effect,True,"Never go, never go dip on the set, stayed Santana",2017.0,50.0
