artist,name,song,person,sentence,year,highestRank
Lil Wayne,Dwayne,Let It All Work Out,True,Dwayne,2018.0,75.0
Lil Wayne,Floyd,Let It All Work Out,True,When I seen Chilli at the Floyd fight,2018.0,75.0
Lil Wayne Featuring Travis Scott,Carter,Let It Fly,True,"It's Tha Carter 5, let the thugs sing",2018.0,10.0
Lil Wayne Featuring Travis Scott,Michael,Let It Fly,True,It's Mr. Michael Myers man,2018.0,10.0
Kevin Gates,Aretha,Let It Sing,True,"I can't see, Aretha Franklin, let it sing",2018.0,82.0
Kevin Gates,Billy Jean,Let It Sing,True,"Flexed up, Billy Jean, yes-uh, everything",2018.0,82.0
Kevin Gates,Billy,Let It Sing,True,"Flex on 'em like I'm Billy, bought a new hip, then told her \hit me\""""",2018.0,82.0
Kevin Gates,Ray,Let It Sing,True,"Ray Charles,",2018.0,82.0
Kevin Gates,Robert,Let It Sing,True,"Fired my manager, Robert Horry in the game",2018.0,82.0
Kevin Gates,Tory,Let It Sing,True,"Bail came in the mail, bust it down, you would think I'm Tory Lanez",2018.0,82.0
Kevin Gates,Tristan,Let It Sing,True,"Tryna get next to me like I'm Tristan,",2018.0,82.0
Thomas Rhett,Lauren,Life Changes,True,Now Lauren and got one on the way,2018.0,36.0
Lil Baby Featuring Gunna & Lil Uzi Vert,Jordan,Life Goes On,True,Makin' plays out of town like I'm Jordan,2018.0,74.0
BlocBoy JB Featuring Drake,Drake,Look Alive,True,Play with Drake and I'ma shoot,2018.0,9.0
XXXTENTACION,Corbin,Look At Me!,True,Curly hair bitch like I'm Corbin,2017.0,34.0
Taylor Swift,Taylor,Look What You Made Me Do,True,"I'm sorry, but the old Taylor can't come to the phone right now",2017.0,1.0
Kane Brown,Luke,Lose It,True,"Let's start with them Luke Caseys, baby, kick 'em to the floorboard",2018.0,28.0
Quavo Featuring Lil Baby,Marlo,Lose It,True,Marlo's still trappin' in them trap house,2018.0,100.0
Drake,Bob,Lose You,True,"Grateful like Jerry, Bob and Mickey",2017.0,64.0
Drake,Jerry,Lose You,True,"Grateful like Jerry, Bob and Mickey",2017.0,64.0
Drake,Mickey,Lose You,True,"Grateful like Jerry, Bob and Mickey",2017.0,64.0
Drake,Trina,Lose You,True,"No snow tires, the rain slip-slide like Trick Daddy and Trina",2017.0,64.0
Kendrick Lamar Featuring Zacari,Tyson,Love.,True,"Feeling like Tyson wit' it, knock it out out twice",2017.0,11.0
Kendrick Lamar Featuring Rihanna,Kenny,Loyalty.,True,"Kung Fu Kenny, now",2017.0,14.0
Eminem Featuring Joyner Lucas,Bruno,Lucky You,True,"I live in Mars, I'm not Bruno",2018.0,100.0
Eminem Featuring Joyner Lucas,Marshall,Lucky You,True,"Still the same Marshall, that outlaw",2018.0,100.0
Kendrick Lamar,James,Lust.,True,"Lately, in James 4:4 says",2017.0,42.0
Lil Skies,Danny,Lust,True,Slide on your block like Danny Glover with a lethal weapon,2018.0,87.0
"21 Savage, Offset & Metro Boomin",Max,Mad Stalkers,True,"Mad Max with me, I'm Biggs",2017.0,99.0
Playboi Carti,Ashanti,Magnolia,True,Walked in with Ashanti,2017.0,29.0
Playboi Carti,Magnolia,Magnolia,True,Shootin' like a soldier like I'm from Magnolia,2017.0,29.0
Playboi Carti,Pierre,Magnolia,True,"Yo, Pierre",2017.0,29.0
Playboi Carti,Rick,Magnolia,True,And they stay rockin' that Rick huh,2017.0,29.0
Nicki Minaj Featuring Eminem & Labrinth,Nicki,Majesty,True,"The Nicki challenge when I fly to Prague, uh",2018.0,58.0
Nicki Minaj Featuring Eminem & Labrinth,Rick,Majesty,True,Slick Rick song or throw some Souls of Mischief on,2018.0,58.0
6ix9ine Featuring Nicki Minaj & Kanye West,Chris,MAMA,True,"Whole squad on point, bunch of Chris Pauls",2018.0,100.0
6ix9ine Featuring Nicki Minaj & Kanye West,Jesus,MAMA,True,"Oh, Jesus Christ, I don't need advice",2018.0,100.0
6ix9ine Featuring Nicki Minaj & Kanye West,Kylie,MAMA,True,I just bought my bitch them Kylie Jenner lip fillers,2018.0,100.0
6ix9ine Featuring Nicki Minaj & Kanye West,Roger,MAMA,True,"Got him cummin', cummin', Roger, over, dispatch",2018.0,100.0
Drake,Billie Jean,2019-03-14,True,She not my lover like Billie Jean but the kid is mine,,
Drake,Nick,2019-03-14,True,"I only met you one time, introduced you to Saint Nick",,
Drake,Sandi,2019-03-14,True,Sandi used to tell me all it takes is,,
JAY-Z,Denzel,Marcy Me,True,"When Denzel was blottin' carpet, I'll pack a... nine millimeter",2017.0,90.0
JAY-Z,Isiah,Marcy Me,True,"Mike was losin' to Isiah, but he soon would get his sixth one",2017.0,90.0
JAY-Z,Jay,Marcy Me,True,And Jam Master Jay was alive I was mixin',2017.0,90.0
JAY-Z,Kane,Marcy Me,True,"Shout out to Big Poppa, Daddy Kane, heroes",2017.0,90.0
JAY-Z,Mona Lisa,Marcy Me,True,"When Slick Rick made \Mona Lisa\""""",2017.0,90.0
JAY-Z,Lisa,Marcy Me,True,"When Lisa Bonet was Beyoncé of her day, I had divas, y'all",2017.0,90.0
JAY-Z,Marcy,Marcy Me,True,"I'm from Marcy Houses, where the boys die by the thousand",2017.0,90.0
JAY-Z,Martin,Marcy Me,True,Back when Pam was on Martin,2017.0,90.0
JAY-Z,Mike,Marcy Me,True,"Mike was losin' to Isiah, but he soon would get his sixth one",2017.0,90.0
JAY-Z,Myrtle,Marcy Me,True,"Shout out to Nostrand Ave., Flushing Ave., Myrtle",2017.0,90.0
JAY-Z,Pam,Marcy Me,True,Back when Pam was on Martin,2017.0,90.0
JAY-Z,Rick,Marcy Me,True,"When Slick Rick made \Mona Lisa\""""",2017.0,90.0
Bradley Cooper,Catherine,Maybe It's Time,True,"Catherine wheel, spinning still",2018.0,93.0
Becky G Featuring Bad Bunny,Becky,Mayores,True,Becky G,2017.0,100.0
Queen Naija,Bryan,Medicine,True,"i'mma call up Bryan, i'mma face-time Ryan, i'mma text Lorenzo, and i'mma leave you crying",2018.0,100.0
Queen Naija,Ryan,Medicine,True,"i'mma call up Bryan, i'mma face-time Ryan, i'mma text Lorenzo, and i'mma leave you crying",2018.0,100.0
Gucci Mane Featuring Offset,Monique,Met Gala,True,"My pockets blew up, Monique",2017.0,88.0
J Balvin & Willy William Featuring Beyonce,William,Mi Gente,True,"J Balvin, Willy William",2017.0,10.0
Bad Bunny Featuring Drake,Romeo,MIA,True,"Yo soy tu Romeo, pero no Santos",2018.0,13.0
Bad Bunny Featuring Drake,Santos,MIA,True,"Yo soy tu Romeo, pero no Santos",2018.0,13.0
Logic,Barry,Midnight,True,"Hits, motherfucker, hits, yeah we 'bout that Barry Bonds",2018.0,74.0
Logic,Bobby,Midnight,True,"Oh no Bobby, don't do 'em like that",2018.0,74.0
Meek Mill Featuring Swizz Beatz,King,Millidelphia,True,"King's back, argh",2018.0,73.0
Meek Mill Featuring Swizz Beatz,Michael,Millidelphia,True,"Wrist all glitter, Michael Jackson",2018.0,73.0
Bazzi,Mariah,Mine,True,"You on fire, you a star just like Mariah",2018.0,15.0
YNW Melly Featuring Kanye West,Penelope,Mixed Personalities,True,"Oh, Penelope",2019.0,42.0
Sheck Wes,Ali,Mo Bamba,True,Where's Ali with the motherfucking dope?,2018.0,10.0
Sheck Wes,Drake,Mo Bamba,True,Call me Drake how a nigga controlla,2018.0,10.0
Huncho Jack,Robin,Modern Slavery,True,They the real Robin Hoods,2018.0,68.0
2 Chainz Featuring Kendrick Lamar,Ace,Momma I Hit A Lick,True,Ace,2019.0,100.0
Lil Wayne Featuring Kendrick Lamar,Ashley,Mona Lisa,True,Britney with the twin and the girl Ashley,2018.0,2.0
Lil Wayne Featuring Kendrick Lamar,Britney,Mona Lisa,True,Britney with the twin and the girl Ashley,2018.0,2.0
Lil Wayne Featuring Kendrick Lamar,Kendrick,Mona Lisa,True,"Touching yourself, looking at Kendrick videos",2018.0,2.0
Lil Wayne Featuring Kendrick Lamar,Mona Lisa,Mona Lisa,True,Mona Lisa,2018.0,2.0
Lil Wayne Featuring Kendrick Lamar,Liz,Mona Lisa,True,"I, know a bitch named Liz, this nigga think she his",2018.0,2.0
Lil Wayne Featuring Kendrick Lamar,Wayne,Mona Lisa,True,You fucking with Wayne?,2018.0,2.0
Cardi B,Ross,Money,True,"Cold ass bitch, I give Ross chills",2018.0,13.0
Cardi B,Tommy,Money,True,"Sweet like a honey bun, spit like a Tommy gun",2018.0,13.0
Ariana Grande & Victoria Monet,Cletus,Monopoly,True,"Where you been, Cletus?",2019.0,70.0
Ariana Grande & Victoria Monet,Eric,Monopoly,True,"I never track my vocals, so shout out to Eric",2019.0,70.0
JAY-Z,Doug,Moonlight,True,"Doug ain't this tight, so",2017.0,86.0
JAY-Z,Lauryn,Moonlight,True,After what they done to our Lauryn Hill?,2017.0,86.0
JAY-Z,Lenny,Moonlight,True,"I just pose a threat, blame Lenny S for that",2017.0,86.0
JAY-Z,Lucian,Moonlight,True,Lucian is cool but Lucian don't write,2017.0,86.0
Kodak Black Featuring Juice WRLD,Jeffrey,MoshPit,True,I'm with killers I'm with straight Jeffrey Dahmer's in here,2018.0,58.0
Kodak Black Featuring Juice WRLD,Paul,MoshPit,True,"His blood turn his coat red, I will Paul",2018.0,58.0
Kodak Black Featuring Juice WRLD,Peter,MoshPit,True,"Shorty twerking on the walls, Peter Parker in here",2018.0,58.0
Kodak Black Featuring Juice WRLD,Tom,MoshPit,True,I be rocking Tom Ford popping Molly though,2018.0,58.0
J. Cole,Shawn,Motiv8,True,"He exempt, Shawn Kemp, he keep that .40 on him",2018.0,15.0
Huncho Jack,Jack,Motorcycle Patches,True,"You was real, Jack and Jill",2018.0,90.0
Huncho Jack,Jill,Motorcycle Patches,True,"You was real, Jack and Jill",2018.0,90.0
YNW Melly,Angela,Murder On My Mind,True,"Baby name Angela, fucked her on camera",2019.0,14.0
Lil Baby,Deja,My Dawg,True,Deja keep on callin',2017.0,71.0
Lil Baby,Frank,My Dawg,True,Frank Mueller watch for my wrist,2017.0,71.0
Migos,Pablo,Narcos,True,Got dope like Pablo,2018.0,100.0
Migos,Seth,Narcos,True,"Get pie face, Seth like meth, yeah",2018.0,100.0
Lil Yachty Featuring NBA YoungBoy,Mike,NBAYoungboat,True,Got a tiger but no I'm not Mike Tyson,2018.0,63.0
Travis Scott,Travis,NC-17,True,"Fuckin' 'round with Travis, you get crossed out",2018.0,41.0
Trippie Redd Featuring Kodie Shane,Mickey,Negative Energy,True,"Yeah, takin' that bitch straight to Mickey D's",2018.0,89.0
Trippie Redd Featuring Kodie Shane,Steve,Negative Energy,True,"Uh, feel like Steve-O",2018.0,89.0
Lil Uzi Vert Featuring Pharrell Williams,Will,Neon Guts,True,"Fresh just like Carlton, I kill em with Will",2017.0,79.0
Lil Baby & Gunna Featuring Drake,Kevin,Never Recover,True,Breadwinner like I'm Kevin Gates,2018.0,15.0
Lil Baby & Gunna Featuring Drake,Virgil,Never Recover,True,Virgil just sent me a whole different color way,2018.0,15.0
Future,Rico,Never Stop,True,"I can see it vividly at the crib, Rico basement",2019.0,65.0
Future,Tom,Never Stop,True,"Came from whippin' out the bowl, Tom",2019.0,65.0
Lil Uzi Vert,Ariel,New Patek,True,Bang the shit out and make the hoes sing Ariel,2018.0,24.0
Lil Uzi Vert,Drake,New Patek,True,but when I'm in Toronto they treat me like Drake,2018.0,24.0
Lil Uzi Vert,Frank,New Patek,True,Frank Mueller made part of my wrist,2018.0,24.0
Lil Uzi Vert,Rey,New Patek,True,"She from the six one nine, Rey Mysterio",2018.0,24.0
Lil Uzi Vert,Richard,New Patek,True,New Richard on my wrist,2018.0,24.0
Lil Uzi Vert,Rick,New Patek,True,Was that a pair of boots from Rick?,2018.0,24.0
twenty one pilots,Nico,Nico And The Niners,True,"From Nico and the Niners, oh",2018.0,79.0
Offset & Metro Boomin,Freddy,Nightmare,True,"Freddy Kruger, give 'em a nightmare",2017.0,100.0
"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",Ben,No Brainer,True,"And I keep it Ben Franklin, I'm not gon' change",2018.0,10.0
"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",Justin,No Brainer,True,"She tryna choose between me, Justin, Qua' and Asahd",2018.0,10.0
Travis Scott,Scott,No Bystanders,True,Niggas tryna move on the Scott and move that deep,2018.0,31.0
Future & Young Thug,Beverly,No Cap,True,"Out in Beverly Hills, I adapt",2017.0,62.0
Future & Young Thug,Bobby,No Cap,True,"Yeah, free Bobby Shmurda motherfuck the Rucker's",2017.0,62.0
Future & Young Thug,Michael,No Cap,True,"Backstabbed the bitch, like I'm Michael Myers",2017.0,62.0
Future & Young Thug,Pedro,No Cap,True,I can turn Pedro,2017.0,62.0
Metro Boomin Featuring Offset & Drake,Muhammad,No Complaints,True,I wanna be like Muhammad Ali,2017.0,100.0
G-Eazy Featuring A$AP Rocky & Cardi B,Daniel,No Limit,True,"Damn Daniel, back again with the-",2017.0,10.0
G-Eazy Featuring A$AP Rocky & Cardi B,Gerald,No Limit,True,Young Gerald,2017.0,10.0
G-Eazy Featuring A$AP Rocky & Cardi B,Jared,No Limit,True,Bitch I ain't Jared,2017.0,10.0
Drake Featuring Giggs,Buck,No Long Talk,True,"Man gone Hollywood, it's like I'm Buck or somethin'",2017.0,40.0
A Boogie Wit da Hoodie,Savannah,No Promises,True,Savannah just wanted to see me perform,2017.0,74.0
Lil Uzi Vert,Corbin,No Sleep Leak,True,"It's blue, like Corbin",2017.0,90.0
YoungBoy Never Broke Again,Ben,No Smoke,True,Ben knocking him down,2017.0,61.0
French Montana Featuring Drake,Delilah,No Stylist,True,"In Delilah, word to Zack, I need action, that's a fact",2018.0,73.0
French Montana Featuring Drake,Jimmy,No Stylist,True,"Louis Vuitton, Jimmy Choo, that's on you",2018.0,73.0
French Montana Featuring Drake,Zack,No Stylist,True,"In Delilah, word to Zack, I need action, that's a fact",2018.0,73.0
Old Dominion,Diane,No Such Thing As A Broken Heart,True,"I wonder if Jack and Diane ever made it,",2017.0,46.0
Old Dominion,Jack,No Such Thing As A Broken Heart,True,"I wonder if Jack and Diane ever made it,",2017.0,46.0
Drake,Al,Nonstop,True,Al Haymon checks off of all of my events,2018.0,29.0
Drake,Ollie,Nonstop,True,"I let Ollie take the owl, told him brand it for me",2018.0,29.0
Drake,Williams,Nonstop,True,"Bills so big, I call 'em Williams, for real",2018.0,29.0
Eminem,Milo,Normal,True,Who the fuck's Milo?,2018.0,39.0
Eminem Featuring Royce Da 5'9,Hailie,Not Alike,True,But keep commenting on my daughter Hailie,2018.0,24.0
Eminem Featuring Royce Da 5'9,Harvey,Not Alike,True,"But now days are over, I Harvey Weinstein, a bathrobe hanging over",2018.0,24.0
Eminem Featuring Royce Da 5'9,Kelly,Not Alike,True,"And I'm talking to you but you already know who the fuck you are, Kelly",2018.0,24.0
Eminem Featuring Royce Da 5'9,Nina,Not Alike,True,Decides to team up with Nina,2018.0,24.0
Eminem Featuring Royce Da 5'9,Remy,Not Alike,True,"We can get it poppin' like Redenbach, letting off like Remy Ma",2018.0,24.0
Migos Featuring Post Malone,Kimberly,Notice Me,True,I came from the pot with Kimberly,2018.0,52.0
Lil Mosey,Dee,Noticed,True,"Dee, linked with southend, we was thuggin'",2018.0,100.0
Ski Mask The Slump God Featuring Juice WRLD,Denzel,Nuketown,True,"They be just actors Denzel Washington, uh-huh",2018.0,63.0
Ski Mask The Slump God Featuring Juice WRLD,Drake,Nuketown,True,"Drake and Josh how we team your bitch, uh-uh",2018.0,63.0
Ski Mask The Slump God Featuring Juice WRLD,Josh,Nuketown,True,"Drake and Josh how we team your bitch, uh-uh",2018.0,63.0
Ski Mask The Slump God Featuring Juice WRLD,Mario,Nuketown,True,Know I had to level up ate a Mario,2018.0,63.0
Ski Mask The Slump God Featuring Juice WRLD,Michael,Nuketown,True,"Michael Jackson one glove I hit, uh-huh",2018.0,63.0
Ski Mask The Slump God Featuring Juice WRLD,Nick,Nuketown,True,Entertainment with yo' bitch at night like Nick,2018.0,63.0
Ski Mask The Slump God Featuring Juice WRLD,Vicky,Nuketown,True,Icky Vicky spit how I got slimes on deck,2018.0,63.0
Lil Baby & Gunna Featuring Lil Durk & NAV,Alexander,Off White VLONE,True,"Alexander, Laurent",2018.0,54.0
Camila Cabello Featuring Quavo,Boston,OMG,True,Smoke more green than Boston,2017.0,81.0
Camila Cabello Featuring Quavo,Jordan,OMG,True,"Jordan, 23",2017.0,81.0
Camila Cabello Featuring Quavo,Michael,OMG,True,"Moonwalk, my diamonds Michael",2017.0,81.0
J. Cole,Al,Once An Addict (Interlude),True,Tears flow while Al Green blow,2018.0,47.0
J. Cole,Carolina,Once An Addict (Interlude),True,"Young Carolina nigga, fish out of water",2018.0,47.0
J. Cole,Marvin,Once An Addict (Interlude),True,"Late as shit, cigarette smoke and greatest hits from Marvin Gaye",2018.0,47.0
Gunna,Barry,One Call,True,Shoot a movie like Barry Gordon,2019.0,56.0
Gunna,Martin,One Call,True,Sheneneh than Martin Lawrence,2019.0,56.0
Logic Featuring Ryan Tedder,Ryan,One Day,True,This right here a double-header with Logic and Ryan Tedder,2018.0,80.0
"Khalid, Ty Dolla $ign & 6LACK",Khalid,OTW,True,"You say, Play Khalid",2018.0,57.0
YoungBoy Never Broke Again,Ben,Outside Today,True,Ben bought me a bitch but I really don't want her,2018.0,31.0
YoungBoy Never Broke Again,Kevin,Outside Today,True,"Free Kevin Gates, it's a murder for hire",2018.0,31.0
Quavo Featuring 21 Savage,Mickey,Pass Out,True,Y'all niggas rats like Mickey,2018.0,61.0
Quavo Featuring 21 Savage,Missy,Pass Out,True,but I'm not talkin' bout Missy,2018.0,61.0
Quavo Featuring 21 Savage,Ricky,Pass Out,True,Shoot you in the back like Ricky,2018.0,61.0
Quavo Featuring 21 Savage,Will,Pass Out,True,"I'm not Will Smith, but I'm tryna get jiggy",2018.0,61.0
Kodak Black,Dana,Patty Cake,True,"Sippin' on champagne, my whip on Dana Dane's",2017.0,76.0
Meek Mill Featuring 21 Savage,Arnold,Pay You Back,True,Arnold Schwarzenegger,2018.0,78.0
Meek Mill Featuring 21 Savage,Charles,Pay You Back,True,I call it Charles Manson,2018.0,78.0
Meek Mill Featuring 21 Savage,Waldo,Pay You Back,True,Can't find a bitch like Waldo,2018.0,78.0
Drake,Diana,Peak,True,"Rest in heaven, Diana",2018.0,38.0
Lil Yachty Featuring Migos,Chris,Peek A Boo,True,Take that lil' bitch to the Ruth's Chris,2017.0,78.0
Lil Yachty Featuring Migos,Eddie,Peek A Boo,True,"Won't give you no credit, you Eddie spaghetti",2017.0,78.0
Lil Yachty Featuring Migos,Freddy,Peek A Boo,True,"Pullin' up foreign, Freddy Kreuger, wow",2017.0,78.0
Lil Yachty Featuring Migos,Ricky,Peek A Boo,True,Ricky Racks,2017.0,78.0
Lil Yachty Featuring Migos,Rudolph,Peek A Boo,True,On his nose like Rudolph,2017.0,78.0
Lil Yachty Featuring Migos,Ruth,Peek A Boo,True,Take that lil' bitch to the Ruth's Chris,2017.0,78.0
Famous Dex Featuring A$AP Rocky,Dexter,Pick It Up,True,Dexter,2017.0,54.0
Famous Dex Featuring A$AP Rocky,Jacob,Pick It Up,True,"Jacob my wrist, othing was fake on my wrist",2017.0,54.0
A$AP Ferg Featuring Nicki Minaj,Bella,Plain Jane,True,"I think I need a foursome, Bella, Kendall, Gigi",2017.0,26.0
A$AP Ferg Featuring Nicki Minaj,Ben,Plain Jane,True,"Ferg is the name, Ben Baller did the chain",2017.0,26.0
A$AP Ferg Featuring Nicki Minaj,Jane,Plain Jane,True,"Tourneau for the watch, presi Plain Jane",2017.0,26.0
A$AP Ferg Featuring Nicki Minaj,Kendall,Plain Jane,True,"I think I need a foursome, Bella, Kendall, Gigi",2017.0,26.0
A$AP Ferg Featuring Nicki Minaj,Kirk,Plain Jane,True,"I go crazy in my Yeezy, Kirk Kneezy on the beat",2017.0,26.0
Drake Featuring Quavo & Travis Scott,Griselda,Portland,True,Griselda,2017.0,21.0
Drake Featuring Quavo & Travis Scott,Ike,Portland,True,Ike Turner with the left hand,2017.0,21.0
Drake Featuring Quavo & Travis Scott,Jay,Portland,True,"No, I did not sign with Jay, but I still send a Tidal wave",2017.0,21.0
Drake Featuring Quavo & Travis Scott,Michael,Portland,True,Michael Phelps with the swim moves,2017.0,21.0
Rae Sremmurd & Juicy J,Keisha,Powerglide,True,"Yeah, shout out Keisha bottoms",2018.0,28.0
Rae Sremmurd & Juicy J,Mike,Powerglide,True,Mike WiLL Made-It,2018.0,28.0
YoungBoy Never Broke Again,Dave,Preach,True,"I told Montana that I love him, On Dave I meant it",2018.0,98.0
YoungBoy Never Broke Again,Montana,Preach,True,"I told Montana that I love him, On Dave I meant it",2018.0,98.0
NAV Featuring The Weeknd,Tonya,Price On My Head,True,"I can't sleep, that's insomnia, so much ice, like I'm Tonya",2019.0,72.0
NAV Featuring The Weeknd,Wesley,Price On My Head,True,"All my boys livin' debt free, it's a squad like Wesley",2019.0,72.0
Lil Wayne,Bob,Problems,True,Better get up and stand up like Bob Marley,2018.0,57.0
Lil Wayne,Jesus,Problems,True,Jesus Christ amen,2018.0,57.0
Lil Wayne,June,Problems,True,Big as Mama June off the diet plan,2018.0,57.0
2 Chainz Featuring YG & Offset,Mike,Proud,True,Mike,2018.0,96.0
Post Malone Featuring Ty Dolla $ign,Michael,Psycho,True,"Yeah, my AP goin' psycho, lil' mama bad like Michael",2018.0,1.0
Post Malone Featuring Ty Dolla $ign,Tony,Psycho,True,Come with the Tony Romo for clowns and all the bozos,2018.0,1.0
Big Sean & Metro Boomin Featuring 21 Savage,John,Pull Up N Wreck,True,"I need \go see Uncle John in Atlanta\"" time""",2017.0,80.0
Big Sean & Metro Boomin Featuring 21 Savage,Stan,Pull Up N Wreck,True,"Y'all wanna ball, I'm Stan Van Gundy",2017.0,80.0
Big Sean & Metro Boomin Featuring 21 Savage,Tony,Pull Up N Wreck,True,I'm in the car like Tony Starks cause I'm that smart,2017.0,80.0
Big Sean & Metro Boomin Featuring 21 Savage,Tyson,Pull Up N Wreck,True,This Glock gon' knock a nigga down like Tyson,2017.0,80.0
Lil Baby,Era,Pure Cocaine,True,"New Era, I'm a dope boy, no cap",2018.0,89.0
Mustard & Migos,Ricky Bobby,Pure Water,True,"In the lobby with a brick, I'm Ricky Bobby with your bitch",2019.0,31.0
Mustard & Migos,Celine,Pure Water,True,In the lab with Celine like that bag that she wanted,2019.0,31.0
Mustard & Migos,Lawrence,Pure Water,True,"I go Lawrence with the fit, in the 'Rari with no tint",2019.0,31.0
Mustard & Migos,Willis,Pure Water,True,"Somebody got shot, what you talkin' 'bout, Willis?",2019.0,31.0
Yo Gotti Featuring Lil Baby,June,Put A Date On It,True,June you're a genius,2019.0,46.0
Yo Gotti Featuring Nicki Minaj,Chyna,Rake It Up,True,Brought out the pink Lamborghini just to race with Chyna,2017.0,10.0
Yo Gotti Featuring Nicki Minaj,Jay,Rake It Up,True,I was sendin' bricks to Harlem back when Jay was still with Dame,2017.0,10.0
Yo Gotti Featuring Nicki Minaj,Joe,Rake It Up,True,"Ask Bimmy and Joe, nigga run me my dough",2017.0,10.0
Yo Gotti Featuring Nicki Minaj,Mike,Rake It Up,True,"Yeah, me and Mike WiLL pull up to AOD back to back",2017.0,10.0
Yo Gotti Featuring Nicki Minaj,Nicki,Rake It Up,True,Nickname is Nicki but my name ain't Nicole,2017.0,10.0
Yo Gotti Featuring Nicki Minaj,Nicole,Rake It Up,True,Nickname is Nicki but my name ain't Nicole,2017.0,10.0
Yo Gotti Featuring Nicki Minaj,Ronnie,Rake It Up,True,"Never trust a big butt and a smile, word to Ronnie",2017.0,10.0
Machine Gun Kelly,Jimmy,Rap Devil,True,Then you went and called Jimmy,2018.0,13.0
Machine Gun Kelly,Kim,Rap Devil,True,"Already fucked one rapper's girl this week, don't make me call Kim",2018.0,13.0
Machine Gun Kelly,Marshall,Rap Devil,True,"Hello Marshall, my name's Colson",2018.0,13.0
Machine Gun Kelly,Oscar,Rap Devil,True,"I'm not afraid"" okay Oscar the Grouch",2018.0,13.0
Machine Gun Kelly,Paul,Rap Devil,True,Let's ask Interscope how you had Paul Rosenberg tryin' to shelf me,2018.0,13.0
Machine Gun Kelly,Ronny,Rap Devil,True,"Oh my god, Ronny",2018.0,13.0
"21 Savage, Offset & Metro Boomin Featuring Quavo",Jesus,Rap Saved Me,True,I love when I meet Jesus,2017.0,64.0
Drake,Anita,Ratchet Happy Birthday,True,"Cool your headtop, you hotter than Anita",2018.0,51.0
Taylor Swift,Taylor,...Ready For It?,True,Burton to this Taylor,2017.0,18.0
Plies Featuring Kodak Black,Julio,Real Hitta,True,Plug name Julio but he don't play for Atlanta,2017.0,100.0
Offset,Brooklyn,Red Room,True,We done sold out Brooklyn,2019.0,49.0
Offset,Mike,Red Room,True,Facetime 'round 3 Mike in a puddle,2019.0,49.0
Lil Skies Featuring Landon Cube,Johnny,Red Roses,True,"Oh you got a hotty body, come ride on my Johnny",2018.0,100.0
Nicki Minaj,Selena,Regret In Your Tears,True,Plus I got that ass like Selena,2017.0,61.0
Nicki Minaj,Serena,Regret In Your Tears,True,I count up the racks like Serena,2017.0,61.0
Young Thug Featuring Future,Jo,Relationship,True,"Tamika, Jo and Porsche kept it silent",2017.0,65.0
Young Thug Featuring Future,Malcolm,Relationship,True,"Pop an X pill like we Malcolm, yeah, hey",2017.0,65.0
Young Thug Featuring Future,Tamika,Relationship,True,"Tamika, Jo and Porsche kept it silent",2017.0,65.0
Ariana Grande,Perla,R.E.M,True,What about La Perla?,2018.0,72.0
Ariana Grande,Vickie,R.E.M,True,Let Vickie keep her secret,2018.0,72.0
Quavo Featuring Travis Scott,Ike,Rerun,True,"Ike and Tina, way I beat the, beat the, beat the, beat the",2018.0,88.0
Quavo Featuring Travis Scott,Nina,Rerun,True,"Called up Nina, rollin' on my d-nuh",2018.0,88.0
Quavo Featuring Travis Scott,Tina,Rerun,True,"Ike and Tina, way I beat the, beat the, beat the, beat the",2018.0,88.0
Maren Morris,Marilyn,Rich,True,Me and Diddy drippin' diamonds like Marilyn,2018.0,77.0
Nicki Minaj Featuring Lil Wayne,Mac,Rich Sex,True,"Mac took the Wraith, me and Tun flew",2018.0,56.0
Nicki Minaj Featuring Lil Wayne,Mitch,Rich Sex,True,"Who gon' Rico, Ace me, pay in full my money, Mitch, nigga",2018.0,56.0
Nicki Minaj Featuring Lil Wayne,Queen,Rich Sex,True,"Queen, where we going again?",2018.0,56.0
Nicki Minaj Featuring Lil Wayne,Rico,Rich Sex,True,"Who gon' Rico, Ace me, pay in full my money, Mitch, nigga",2018.0,56.0
Eminem Featuring Ed Sheeran,Gwen,River,True,"Says maybe she'll be my Gwen Stacy, to spite her man",2018.0,11.0
Eminem Featuring Ed Sheeran,Sue,River,True,"It's hard to find the words, I'm aloof, nervous, and Sue",2018.0,11.0
Eminem Featuring Ed Sheeran,Suzanne,River,True,"Hi Suzanne, but I shoulda said \Bye Suzanne\""""",2018.0,11.0
Future,Chuck,Rocket Ship,True,"I'm tellin' you, you can ask Chuck if he call",2019.0,79.0
Kodak Black Featuring XXXTENTACION,Jesus,Roll In Peace,True,"Got on my knees like \Jesus please\""""",2017.0,31.0
benny blanco & Juice WRLD Featuring Brendon Urie,Maverick,Roses,True,But I'm ballin' like a young Maverick,2019.0,85.0
Eric Church,Scotty,Round Here Buzz,True,"No, Scotty's ain't got no vibe",2017.0,56.0
YBN Nahmir,Christian,Rubbin Off The Paint,True,"But they do it for the twins, free Lil Corey and Lil Christian",2017.0,46.0
YBN Nahmir,Corey,Rubbin Off The Paint,True,"But they do it for the twins, free Lil Corey and Lil Christian",2017.0,46.0
