Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Exclusive Shelf,Categories,SmallThumbnail
50275986,Strange Flowers,Donal Ryan,"Ryan, Donal",,1473544610,9.78E+12,4,3.81,Transworld Digital,Kindle Edition,218,2020,2020,11/09/2022,06/09/2022,read,Fiction,http://books.google.com/books/content?id=k4PADwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
61139426,Can’t We Just Print More Money?: Economics in Ten Simple Questions,The Bank of England,"England, The Bank of",,1529159067,9.78E+12,0,4.05,Penguin,Kindle Edition,311,2022,,,24/11/2022,currently-reading,Business & Economics,http://books.google.com/books/content?id=ldxGEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
60769393,The Queen of Dirt Island,Donal Ryan,"Ryan, Donal",,1473544602,9.78E+12,5,4.08,Transworld Digital,Kindle Edition,248,2022,2022,07/08/2023,23/07/2023,read,Fiction,http://books.google.com/books/content?id=LslPEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
62353013,No One Saw a Thing,Andrea Mara,"Mara, Andrea",,1529197899,9.78E+12,1,3.98,Transworld Digital,Kindle Edition,378,2023,2023,07/08/2023,28/06/2023,read,Fiction,http://books.google.com/books/content?id=M8h6EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
60159416,"Red, White & Royal Blue",Casey McQuiston,"McQuiston, Casey",,1529099471,9.78E+12,0,4.08,Macmillan,ebook,464,2022,2019,,18/12/2023,read,Fiction,http://books.google.com/books/content?id=MG5YEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
57638052,The Echo Chamber,John Boyne,"Boyne, John",,1473563321,9.78E+12,1,3.87,Transworld Publishers Doubleday,Kindle Edition,432,2021,2021,,03/01/2024,read,Fiction,http://books.google.com/books/content?id=MKMkEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
61916884,Haven,Emma Donoghue,"Donoghue, Emma",,1529091179,9.78E+12,4,3.42,Picador,Kindle Edition,289,2022,2022,10/10/2023,05/10/2023,read,Fiction,http://books.google.com/books/content?id=NJ1hEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
22708846,"Are You There, God? It's Me, Margaret",Judy Blume,"Blume, Judy",,1447280350,9.78E+12,4,3.94,Macmillan Children's Books,Kindle Edition,224,2014,1970,01/09/2024,01/09/2024,read,Young Adult Fiction,http://books.google.com/books/content?id=nxq1AwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
125538048,Fat Talk: Coming of Age in Diet Culture,Virginia Sole-Smith,"Sole-Smith, Virginia",,1804183113,9.78E+12,0,4.3,Ithaka,Kindle Edition,385,2023,2023,,26/04/2023,currently-reading,Health & Fitness,http://books.google.com/books/content?id=OLK3EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
56591783,The Lost Apothecary,Sarah Penner,"Penner, Sarah",,1789558980,9.78E+12,2,3.75,Legend Press,Kindle Edition,320,2021,2021,27/10/2022,19/10/2022,read,Fiction,http://books.google.com/books/content?id=OoFJEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
203575664,The Turnglass,Gareth Rubin,"Rubin, Gareth",,1398514519,9.78E+12,0,3.49,Simon & Schuster UK,Kindle Edition,512,2023,2023,,11/04/2024,currently-reading,Fiction,http://books.google.com/books/content?id=Pg-iEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
56578667,Victoria Park,Gemma Reeves,"Reeves, Gemma",,176087406X,9.78E+12,3,3.6,Allen & Unwin,Kindle Edition,227,2021,2021,24/07/2022,18/07/2022,read,Fiction,http://books.google.com/books/content?id=PPrwDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
52394718,Nobber,Oisín Fagan,"Fagan, Oisín",,1529389100,9.78E+12,0,3.58,JM Originals,ebook,304,2019,2019,07/08/2023,17/01/2021,read,Fiction,http://books.google.com/books/content?id=Ptd-DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
156512383,Green Dot,Madeleine Gray,"Gray, Madeleine",,1399612794,9.78E+12,4,3.7,Weidenfeld & Nicolson,Kindle Edition,376,2024,2024,09/04/2024,09/04/2024,read,Fiction,http://books.google.com/books/content?id=Q9mxEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
59523594,We Had to Remove This Post,Hanna Bervoets,"Bervoets, Hanna",Emma Rault,1529087252,9.78E+12,4,2.93,Picador,Kindle Edition,144,2022,2021,20/06/2023,19/06/2023,read,Fiction,http://books.google.com/books/content?id=RH5HEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
55707690,The Promise,Lucy Diamond,"Diamond, Lucy",,1529027055,9.78E+12,3,4.02,Macmillan,Kindle Edition,480,2021,2020,07/10/2021,05/10/2021,read,Fiction,http://books.google.com/books/content?id=ryEBEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
61304113,Milk Teeth,Jessica  Andrews,"Andrews, Jessica",,1473682835,9.78E+12,0,3.66,Sceptre,Kindle Edition,251,2022,2022,01/01/2023,18/12/2023,read,Fiction,http://books.google.com/books/content?id=TBrmDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
43205626,Saltwater,Jessica  Andrews,"Andrews, Jessica",,1473682797,9.78E+12,0,3.79,Sceptre,Kindle Edition,304,2019,2019,27/11/2023,20/06/2023,read,Fiction,http://books.google.com/books/content?id=TFVrDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
60779751,Africa Is Not A Country: Breaking Stereotypes of Modern Africa,Dipo Faloyin,"Faloyin, Dipo",,1473593433,9.78E+12,5,4.43,Vintage Digital,Kindle Edition,340,2022,2022,,26/10/2022,currently-reading,Social Science,http://books.google.com/books/content?id=tiAxEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
60294977,Heartsick,Jessie Stephens,"Stephens, Jessie",,1529084229,9.78E+12,0,4,Pan Macmillan,Kindle Edition,333,2022,2021,,18/12/2023,read,Family & Relationships,http://books.google.com/books/content?id=tVI1EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
61382745,Everyone Here Is Lying,Shari Lapena,"Lapena, Shari",,1473598567,9.78E+12,0,3.8,Transworld Digital,Kindle Edition,404,2023,2023,07/06/2024,05/06/2024,read,Fiction,http://books.google.com/books/content?id=UbF3EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
67990541,None of This Is True,Lisa Jewell,"Jewell, Lisa",,1804940224,9.78E+12,0,4.12,Penguin,Kindle Edition,400,2023,2023,,09/06/2024,currently-reading,Fiction,http://books.google.com/books/content?id=UImSEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
199551453,The Wrong Daughter,Dandy Smith,"Smith, Dandy",,1471414639,9.78E+12,3,4.09,Embla Books,Kindle Edition,353,2024,2024,29/06/2024,27/06/2024,read,Fiction,http://books.google.com/books/content?id=UvPbEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
48589363,Shuggie Bain,Douglas   Stuart,"Stuart, Douglas",,1529019303,9.78E+12,0,4.31,Picador,ebook,449,2020,2020,29/12/2022,08/12/2022,read,Fiction,http://books.google.com/books/content?id=UZCrDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
125071926,Your Child is Not Broken: Parent Your Neurodivergent Child Without Losing Your Marbles,Heidi Mavir,"Mavir, Heidi",,1035030985,9.78E+12,5,4.41,Bluebird,Kindle Edition,281,2023,,07/08/2023,16/07/2023,read,Family & Relationships,http://books.google.com/books/content?id=VUi3EAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
125103877,After the Funeral,Tessa Hadley,"Hadley, Tessa",,1473595290,9.78E+12,4,3.82,Vintage Digital,Kindle Edition,226,2023,2023,21/09/2024,21/09/2024,read,Fiction,http://books.google.com/books/content?id=xBSVEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
61021606,The Beloved Girls,Harriet Evans,"Evans, Harriet",,1472251075,9.78E+12,3,3.65,Review,Kindle Edition,520,2021,2021,02/02/2023,29/01/2023,read,Fiction,http://books.google.com/books/content?id=Y-QPEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
74878332,Sea Defences,Hilary  Taylor,"Taylor, Hilary",,178563366X,9.78E+12,5,4.3,Lightning Books,Kindle Edition,337,2022,,07/08/2023,12/04/2023,read,Fiction,http://books.google.com/books/content?id=ybyJEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
60781412,Ginger and Me,Elissa Soave,"Soave, Elissa",,000845843X,9.78E+12,5,3.85,HQ,Kindle Edition,384,2022,2022,07/08/2023,08/05/2023,read,Fiction,http://books.google.com/books/content?id=zhpbEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
56526134,Mrs England,Stacey Halls,"Halls, Stacey",,1838772898,9.78E+12,0,3.91,Manilla Press,ebook,338,2021,2021,22/09/2021,20/09/2021,read,Fiction,http://books.google.com/books/content?id=Zl_1DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
60181877,Maybe in Another Life,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,139851666X,9.78E+12,0,3.79,Simon & Schuster UK,Kindle Edition,349,2022,2015,,22/09/2024,currently-reading,Fiction,http://books.google.com/books/content?id=ZP1IEAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
25574156,The Vorrh,Brian Catling,"Catling, Brian",,1473606608,9.78E+12,0,3.46,Coronet,Kindle Edition,514,2015,2012,09/02/2022,21/01/2021,read,Fiction,http://books.google.com/books/content?id=zsCcBAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
53818706,Unsettled Ground,Claire Fuller,"Fuller, Claire",,,,4,3.78,Fig Tree,Kindle Edition,304,2021,2021,29/09/2024,11/09/2024,read,N/A,N/A
62602332,Every Happy Family,Sarah Stovell,"Stovell, Sarah",,8441685,9.78E+12,1,3.85,HQ,Kindle Edition,320,2023,2023,18/09/2024,17/09/2024,read,N/A,N/A
55339549,Because of You,Dawn French,"French, Dawn",,,,3,3.89,Penguin,Kindle Edition,416,2020,2020,15/09/2024,11/09/2024,read,N/A,N/A
202644015,Bittersweet: A True Story of Love and Loss,Lotte Bowser,"Bowser, Lotte",,1662521413,9.78E+12,3,4.13,Little A,Kindle Edition,205,2024,,07/09/2024,05/09/2024,read,N/A,N/A
58639322,Small Things Like These,Claire Keegan,"Keegan, Claire",,571368719,9.78E+12,0,4.18,Faber & Faber,Kindle Edition,65,2021,2021,01/09/2024,01/09/2024,read,N/A,N/A
212513840,The Dream Home,T.M. Logan,"Logan, T.M.",,,,0,3.95,Zaffre,Kindle Edition,414,2024,2024,,25/08/2024,currently-reading,N/A,N/A
215618605,Big Swiss,Jen Beagin,"Beagin, Jen",,,,5,3.68,Faber & Faber,Kindle Edition,337,2024,2023,23/08/2024,23/08/2024,read,N/A,N/A
17159916,The Fault in Our Stars,John Green,"Green, John",,,,0,4.13,Penguin,Kindle Edition,336,2012,2012,13/08/2024,08/08/2024,read,N/A,N/A
96177628,Good Material,Dolly Alderton,"Alderton, Dolly",,241523664,9.78E+12,0,3.9,Penguin,Hardcover,342,2023,2023,,01/08/2024,currently-reading,N/A,N/A
203359251,The Alternatives,Caoilinn Hughes,"Hughes, Caoilinn",,861545877,9.78E+12,0,3.45,Oneworld Publications,Kindle Edition,391,2024,2024,,31/07/2024,currently-reading,N/A,N/A
62609610,Close to Home,Michael Magee,"Magee, Michael",,,,4,4.06,Penguin,Kindle Edition,277,2023,2023,19/07/2024,29/05/2024,read,N/A,N/A
195026032,The Vacation Rental,Katie Sise,"Sise, Katie",,1662507720,9.78E+12,0,4.02,Little A,Kindle Edition,284,2024,2024,,17/07/2024,currently-reading,N/A,N/A
204574138,Soldier Sailor,Claire Kilroy,"Kilroy, Claire",,,,5,4.08,Faber & Faber,Kindle Edition,241,2023,2023,14/06/2024,13/06/2024,read,N/A,N/A
61857645,The Girls of Summer,Katie  Bishop,"Bishop, Katie",,,,0,3.53,Transworld Digital,Kindle Edition,345,2023,2023,07/06/2024,03/06/2024,read,N/A,N/A
56125938,The Night She Disappeared,Lisa Jewell,"Jewell, Lisa",,,,0,4.11,Cornerstone Digital,Kindle Edition,476,2021,2021,07/06/2024,24/04/2024,read,N/A,N/A
200329468,"Iris Green, Unseen",Louise Finch,"Finch, Louise",,702335371,9.78E+12,0,3.98,Scholastic,Kindle Edition,385,2024,2024,07/06/2024,26/05/2024,read,N/A,N/A
62812699,Signal Fires,Dani Shapiro,"Shapiro, Dani",,1529195896,9.78E+12,0,3.91,Vintage Digital,Kindle Edition,259,2023,2022,07/06/2024,12/03/2024,read,N/A,N/A
208935552,Broken Light,Joanne Harris,"Harris, Joanne",,,,0,3.87,Orion,Kindle Edition,423,2024,2023,07/06/2024,27/03/2024,read,N/A,N/A
200638897,The Fortune Teller,Natasha Boydell,"Boydell, Natasha",,183533296X,9.78E+12,0,4.07,Boldwood Books,Kindle Edition,303,2024,2024,07/06/2024,03/03/2024,read,N/A,N/A
64629362,Old God's Time,Sebastian Barry,"Barry, Sebastian",,,,0,3.84,Faber & Faber,Kindle Edition,273,2023,2023,07/06/2024,04/01/2024,read,N/A,N/A
61120646,The Direction of the Wind,Mansi Shah,"Shah, Mansi",,1542035414,9.78E+12,0,4.09,Lake Union,Kindle Edition,318,2023,2023,,29/05/2024,currently-reading,N/A,N/A
74827090,Small Joys,Elvin James Mensah,"Mensah, Elvin James",,,,2,3.94,Scribner UK,Kindle Edition,399,2023,2023,29/05/2024,27/05/2024,read,N/A,N/A
61831984,Where Water Lies,Hilary Tailor,"Tailor, Hilary",,1542036607,9.78E+12,4,4.16,Lake Union Publishing,Kindle Edition,332,2024,2024,19/05/2024,08/05/2024,read,N/A,N/A
212438233,Ordinary Human Failings,Megan Nolan,"Nolan, Megan",,,,0,3.77,Vintage Digital,Kindle Edition,240,2023,2023,,18/05/2024,currently-reading,N/A,N/A
44009272,Lie With Me,Philippe Besson,"Besson, Philippe",Molly Ringwald,,,4,4.26,Penguin,Kindle Edition,160,2019,2017,02/05/2024,02/05/2024,read,N/A,N/A
203324713,All the Little Bird-Hearts,Viktoria Lloyd-Barlow,"Lloyd-Barlow, Viktoria",,,,0,3.79,Tinder Press,Kindle Edition,274,2023,2023,,11/04/2024,currently-reading,N/A,N/A
29359237,Eileen,Ottessa Moshfegh,"Moshfegh, Ottessa",,,,3,3.57,Vintage Digital,Kindle Edition,274,2016,2015,24/03/2024,24/03/2024,read,N/A,N/A
54640337,The House We Grew Up In,Lisa Jewell,"Jewell, Lisa",,,,0,3.8,Cornerstone Digital,Kindle Edition,448,2013,2013,18/02/2024,18/02/2024,read,N/A,N/A
183087424,Hurt Mountain,Angela Crook,"Crook, Angela",,1662515790,9.78E+12,1,3.94,Lake Union Publishing,Kindle Edition,289,2024,2024,10/02/2024,10/02/2024,read,N/A,N/A
59904786,The Keeper of Stories,Sally Page,"Page, Sally",,,,0,4.08,One More Chapter,Kindle Edition,386,2022,2022,08/06/2022,26/05/2022,read,N/A,N/A
60885525,Demon Copperhead,Barbara Kingsolver,"Kingsolver, Barbara",,,,0,4.5,Faber & Faber,Kindle Edition,644,2022,2022,,08/01/2024,currently-reading,N/A,N/A
193771976,The Real Deal,Caitlin Devlin,"Devlin, Caitlin",,1662518242,9.78E+12,3,3.42,Lake Union Publishing,Kindle Edition,359,2024,2024,08/01/2024,08/01/2024,read,N/A,N/A
150313122,"Another Time, Another Place",Jo  Lovett,"Lovett, Jo",,1785134957,9.78E+12,0,3.94,Boldwood Books,Kindle Edition,282,2023,2023,05/11/2023,05/11/2023,read,FICTION,N/A
49427331,As You Were,Elaine Feeney,"Feeney, Elaine",,,,0,3.6,Vintage Digital,Kindle Edition,395,2020,2020,16/10/2023,16/10/2023,read,N/A,N/A
55068407,One-hit Wonder,Lisa Jewell,"Jewell, Lisa",,,,0,3.74, Penguin ,Kindle Edition,466,2001,2001,12/11/2023,12/11/2023,read,N/A,N/A
62966998,Yellowface,R.F. Kuang,"Kuang, R.F.",,8532796,9.78E+12,4,3.76,The Borough Press,Kindle Edition,336,2023,2023,04/01/2024,01/01/2024,read,N/A,N/A
60641361,When I First Held You,Anstey Harris,"Harris, Anstey",,1662503857,9.78E+12,4,4.31,Lake Union Publishing,Kindle Edition,313,2023,2023,27/12/2023,26/12/2023,read,N/A,N/A
11165610,On Chesil Beach,Ian McEwan,"McEwan, Ian",,,,4,3.61,Vintage Digital,Kindle Edition,226,2010,2007,01/01/2023,18/12/2023,read,N/A,N/A
55830333,The Hand That First Held Mine,Maggie O'Farrell,"O'Farrell, Maggie",,,,5,4.04,Headline,Kindle Edition,386,2010,2010,01/01/2024,31/12/2023,read,N/A,N/A
59764952,At the Table,Claire    Powell,"Powell, Claire",,349727031,9.78E+12,0,3.74,Fleet,Kindle Edition,314,2022,2022,01/01/2023,18/12/2023,read,N/A,N/A
58494898,My Daughter's Mistake,Kate Hewitt,"Hewitt, Kate",,1800192975,9.78E+12,0,4.26,Bookouture,Kindle Edition,382,2021,2021,01/01/2023,18/12/2023,read,N/A,N/A
58010673,Yearbook: A hilarious collection of true stories from the writer of Superbad,Seth Rogen,"Rogen, Seth",,751575763,9.78E+12,0,4.16,Sphere,Kindle Edition,202,2021,2021,01/01/2023,18/12/2023,read,N/A,N/A
50387343,Scabby Queen,Kirstin Innes,"Innes, Kirstin",,8342318,9.78E+12,4,3.72,4th Estate,Kindle Edition,401,2020,2020,01/01/2023,18/12/2023,read,N/A,N/A
61260774,Out of the Ashes,Kara Thomas,"Thomas, Kara",,1662509545,9.78E+12,0,3.89,Thomas & Mercer,Kindle Edition,286,2023,2023,01/01/2023,18/12/2023,read,N/A,N/A
83817583,Kala,Colin Walsh,"Walsh, Colin",,,,0,3.99,Atlantic Books,Kindle Edition,417,2023,2023,01/01/2023,18/12/2023,read,N/A,N/A
61303264,Bournville,Jonathan Coe,"Coe, Jonathan",,241517419,9.78E+12,0,3.8,Viking,Kindle Edition,361,2022,2022,01/01/2023,18/12/2023,read,N/A,N/A
45023640,Grown Ups,Marian Keyes,"Keyes, Marian",,,,0,3.94,Penguin,Kindle Edition,615,2020,2020,01/01/2023,18/12/2023,read,N/A,N/A
43264734,"The Family Upstairs (The Family Upstairs, #1)",Lisa Jewell,"Jewell, Lisa",,,,0,3.96,Cornerstone Digital,Kindle Edition,442,2019,2019,01/01/2023,27/10/2023,read,N/A,N/A
41560071,The Importance of Being Aisling (The Aisling Series Book 2),Emer McLysaght,"McLysaght, Emer",Sarah Breen,1405938234,9.78E+12,0,4.11,Penguin,Kindle Edition,378,2018,,01/01/2023,18/12/2023,read,N/A,N/A
